17:04:42.634 : tid: MN0: Create (tid:15060)
17:04:42.634 : tid: MN0: Debug ver [5.10.0.99999(00000000)]
17:04:42.634 : tid: MN0: Build date: [(Oct 31 2022) 17:01:16]
17:04:42.692 : tid:   1: _oneContact=1, maxContacts=1
17:04:42.693 : tid:   1: 0: TestType=4,  topBottom=24
17:04:42.699 : tid:   1: Exec {
17:04:42.700 : tid:   1:  Found 60 pairs
17:04:42.701 : tid:   1:  3D_object
17:04:42.701 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.565; 19.199; -110.065)	(-147.959; 19.199; -110.065)
17:04:42.701 : tid:   1:  triangle	(-147.051; 9.508; -110.469)	(-147.051; 21.106; -110.469)	(-147.505; 9.508; -110.469)
17:04:42.701 : tid:   1:  triangle	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -110.065)
17:04:42.701 : tid:   1:  triangle	(-147.051; 9.508; -110.469)	(-147.051; 21.106; -110.469)	(-147.505; 9.508; -110.469)
17:04:42.702 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
17:04:42.702 : tid:   1:  triangle	(-147.051; 9.508; -110.469)	(-147.051; 21.106; -110.469)	(-147.505; 9.508; -110.469)
17:04:42.702 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
17:04:42.702 : tid:   1:  triangle	(-147.505; 9.508; -110.469)	(-147.051; 34.442; -110.469)	(-147.051; 9.508; -110.469)
17:04:42.702 : tid:   1:  triangle	(-147.959; 19.002; -110.065)	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -114.871)
17:04:42.702 : tid:   1:  triangle	(-147.505; 9.508; -110.469)	(-174.292; 34.442; -110.469)	(-147.051; 34.442; -110.469)
17:04:42.702 : tid:   1:  triangle	(-147.959; 19.199; -114.871)	(-147.959; 19.002; -114.871)	(-147.959; 19.199; -110.065)
17:04:42.702 : tid:   1:  triangle	(-147.505; 9.508; -110.469)	(-174.292; 34.442; -110.469)	(-147.051; 34.442; -110.469)
17:04:42.702 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
17:04:42.702 : tid:   1:  triangle	(-147.505; 9.508; -110.469)	(-174.292; 34.442; -110.469)	(-147.051; 34.442; -110.469)
17:04:42.702 : tid:   1:  triangle	(-147.959; 19.002; -110.065)	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -114.871)
17:04:42.702 : tid:   1:  triangle	(-174.292; 34.442; -110.469)	(-147.505; 9.508; -110.469)	(-174.292; 9.508; -110.469)
17:04:42.702 : tid:   1:  triangle	(-147.959; 19.199; -114.871)	(-147.959; 19.002; -114.871)	(-147.959; 19.199; -110.065)
17:04:42.703 : tid:   1:  triangle	(-174.292; 34.442; -110.469)	(-147.505; 9.508; -110.469)	(-174.292; 9.508; -110.469)
17:04:42.703 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
17:04:42.703 : tid:   1:  triangle	(-174.292; 34.442; -110.469)	(-147.505; 9.508; -110.469)	(-174.292; 9.508; -110.469)
17:04:42.703 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.565; 19.199; -110.065)	(-147.959; 19.199; -110.065)
17:04:42.703 : tid:   1:  triangle	(-147.051; 21.106; -110.469)	(-174.292; 34.442; -110.469)	(-165.989; -2.959; -110.469)
17:04:42.703 : tid:   1:  triangle	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -110.065)
17:04:42.703 : tid:   1:  triangle	(-147.051; 21.106; -110.469)	(-174.292; 34.442; -110.469)	(-165.989; -2.959; -110.469)
17:04:42.703 : tid:   1:  triangle	(-147.959; 19.002; -110.065)	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -114.871)
17:04:42.703 : tid:   1:  triangle	(-147.051; 21.106; -110.469)	(-174.292; 34.442; -110.469)	(-165.989; -2.959; -110.469)
17:04:42.703 : tid:   1:  triangle	(-147.959; 19.199; -114.871)	(-147.959; 19.002; -114.871)	(-147.959; 19.199; -110.065)
17:04:42.703 : tid:   1:  triangle	(-147.051; 21.106; -110.469)	(-174.292; 34.442; -110.469)	(-165.989; -2.959; -110.469)
17:04:42.703 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
17:04:42.703 : tid:   1:  triangle	(-147.051; 21.106; -110.469)	(-174.292; 34.442; -110.469)	(-165.989; -2.959; -110.469)
17:04:42.703 : tid:   1:  triangle	(-147.959; 19.002; -114.871)	(-147.565; 19.002; -114.871)	(-147.959; 19.002; -110.065)
