15:44:47.369 : tid:   4: ==========================================================
15:44:47.371 : tid:   4: New test: _oneContact=1, maxContacts=1
15:44:47.372 : tid:   4: maxPCNodeVerts=4000
15:44:47.373 : tid:   4: use pointcloud multithread
15:44:47.374 : tid:   4: ==========================================================
15:44:47.374 : tid:   4: 0: TestType='Tolerance',  CheckInside {
15:44:47.375 : tid:   4:  === Process 2x1 frags ===
15:44:47.376 : tid:   4:  0 exec 0:0 {
15:44:47.385 : tid:   4:   Found 1124 pairs
15:44:47.386 : tid:   4:   3D_object	0
15:44:47.387 : tid:   4:   3D_object	1
15:44:47.417 : tid:   4:   triangle	(27.146; 11.483; -173.170)	(41.157; 0.309; -173.170)	(41.157; 12.467; -173.170)	1
15:44:47.417 : tid:   4:   triangle	(40.746; 5.696; -167.844)	(40.744; 5.696; -167.844)	(40.744; 5.696; -173.161)	0
15:44:47.418 : tid:   4:   triangle	(41.157; 0.309; -173.170)	(41.157; 0.309; -174.154)	(41.157; 12.467; -174.154)	1
15:44:47.419 : tid:   4:   triangle	(40.746; 5.696; -167.844)	(40.744; 5.696; -167.844)	(40.744; 5.696; -173.161)	0
15:44:47.420 : tid:   4:   triangle	(41.157; 12.467; -174.154)	(41.157; 12.467; -173.170)	(41.157; 0.309; -173.170)	1
15:44:47.420 : tid:   4:   triangle	(40.746; 5.696; -167.844)	(40.744; 5.696; -167.844)	(40.744; 5.696; -173.161)	0
15:44:47.421 : tid:   4:   triangle	(27.146; 11.483; -173.170)	(41.157; 0.309; -173.170)	(41.157; 12.467; -173.170)	1
15:44:47.422 : tid:   4:   triangle	(40.744; 5.696; -173.161)	(40.746; 5.696; -173.162)	(40.746; 5.696; -167.844)	0
15:44:47.422 : tid:   4:   triangle	(41.157; 0.309; -173.170)	(41.157; 0.309; -174.154)	(41.157; 12.467; -174.154)	1
15:44:47.423 : tid:   4:   triangle	(40.744; 5.696; -173.161)	(40.746; 5.696; -173.162)	(40.746; 5.696; -167.844)	0
15:44:47.423 : tid:   4:   triangle	(41.157; 12.467; -174.154)	(41.157; 12.467; -173.170)	(41.157; 0.309; -173.170)	1
15:44:47.424 : tid:   4:   triangle	(40.744; 5.696; -173.161)	(40.746; 5.696; -173.162)	(40.746; 5.696; -167.844)	0
15:44:47.424 : tid:   4:   triangle	(27.146; 11.483; -173.170)	(41.157; 0.309; -173.170)	(41.157; 12.467; -173.170)	1
15:44:47.425 : tid:   4:   triangle	(40.746; 8.059; -167.844)	(40.746; 5.696; -167.844)	(40.746; 8.059; -173.162)	0
15:44:47.426 : tid:   4:   triangle	(41.157; 0.309; -173.170)	(41.157; 0.309; -174.154)	(41.157; 12.467; -174.154)	1
15:44:47.426 : tid:   4:   triangle	(40.746; 8.059; -167.844)	(40.746; 5.696; -167.844)	(40.746; 8.059; -173.162)	0
15:44:47.427 : tid:   4:   triangle	(41.157; 12.467; -174.154)	(41.157; 12.467; -173.170)	(41.157; 0.309; -173.170)	1
15:44:47.428 : tid:   4:   triangle	(40.746; 8.059; -167.844)	(40.746; 5.696; -167.844)	(40.746; 8.059; -173.162)	0
15:44:47.428 : tid:   4:   triangle	(27.146; 11.483; -173.170)	(41.157; 0.309; -173.170)	(41.157; 12.467; -173.170)	1
15:44:47.429 : tid:   4:   triangle	(40.746; 5.696; -173.162)	(40.746; 8.059; -173.162)	(40.746; 5.696; -167.844)	0
15:44:47.430 : tid:   4:   triangle	(41.157; 0.309; -173.170)	(41.157; 0.309; -174.154)	(41.157; 12.467; -174.154)	1
15:44:47.430 : tid:   4:   triangle	(40.746; 5.696; -173.162)	(40.746; 8.059; -173.162)	(40.746; 5.696; -167.844)	0
15:44:47.431 : tid:   4:   triangle	(41.157; 12.467; -174.154)	(41.157; 12.467; -173.170)	(41.157; 0.309; -173.170)	1
15:44:47.432 : tid:   4:   triangle	(40.746; 5.696; -173.162)	(40.746; 8.059; -173.162)	(40.746; 5.696; -167.844)	0
15:44:47.432 : tid:   4:   triangle	(27.146; 11.483; -173.170)	(41.157; 0.309; -173.170)	(41.157; 12.467; -173.170)	1
15:44:47.433 : tid:   4:   triangle	(40.744; 8.059; -167.844)	(40.746; 8.059; -167.844)	(40.744; 8.059; -173.161)	0
15:44:47.434 : tid:   4:   triangle	(41.157; 0.309; -173.170)	(41.157; 0.309; -174.154)	(41.157; 12.467; -174.154)	1
15:44:47.434 : tid:   4:   triangle	(40.744; 8.059; -167.844)	(40.746; 8.059; -167.844)	(40.744; 8.059; -173.161)	0
15:44:47.435 : tid:   4:   triangle	(41.157; 12.467; -174.154)	(41.157; 12.467; -173.170)	(41.157; 0.309; -173.170)	1
15:44:47.436 : tid:   4:   triangle	(40.744; 8.059; -167.844)	(40.746; 8.059; -167.844)	(40.744; 8.059; -173.161)	0
15:44:47.437 : tid:   4:   triangle	(27.146; 11.483; -173.170)	(41.157; 0.309; -173.170)	(41.157; 12.467; -173.170)	1
15:44:47.437 : tid:   4:   triangle	(40.746; 8.059; -173.162)	(40.744; 8.059; -173.161)	(40.746; 8.059; -167.844)	0
15:44:47.438 : tid:   4:   triangle	(41.157; 0.309; -173.170)	(41.157; 0.309; -174.154)	(41.157; 12.467; -174.154)	1
15:44:47.439 : tid:   4:   triangle	(40.746; 8.059; -173.162)	(40.744; 8.059; -173.161)	(40.746; 8.059; -167.844)	0
15:44:47.440 : tid:   4:   triangle	(41.157; 12.467; -174.154)	(41.157; 12.467; -173.170)	(41.157; 0.309; -173.170)	1
15:44:47.440 : tid:   4:   triangle	(40.746; 8.059; -173.162)	(40.744; 8.059; -173.161)	(40.746; 8.059; -167.844)	0
15:44:47.441 : tid:   4:   triangle	(27.146; 11.483; -173.170)	(41.157; 0.309; -173.170)	(41.157; 12.467; -173.170)	1
15:44:47.442 : tid:   4:   triangle	(40.744; 5.696; -167.844)	(40.744; 8.059; -167.844)	(40.744; 8.059; -173.161)	0
15:44:47.443 : tid:   4:   triangle	(41.157; 0.309; -173.170)	(41.157; 0.309; -174.154)	(41.157; 12.467; -174.154)	1
15:44:47.444 : tid:   4:   triangle	(40.744; 5.696; -167.844)	(40.744; 8.059; -167.844)	(40.744; 8.059; -173.161)	0
15:44:47.444 : tid:   4:   triangle	(41.157; 12.467; -174.154)	(41.157; 12.467; -173.170)	(41.157; 0.309; -173.170)	1
15:44:47.445 : tid:   4:   triangle	(40.744; 5.696; -167.844)	(40.744; 8.059; -167.844)	(40.744; 8.059; -173.161)	0
15:44:47.446 : tid:   4:   triangle	(27.146; 11.483; -173.170)	(41.157; 0.309; -173.170)	(41.157; 12.467; -173.170)	1
15:44:47.447 : tid:   4:   triangle	(40.744; 8.059; -173.161)	(40.744; 5.696; -173.161)	(40.744; 5.696; -167.844)	0
15:44:47.448 : tid:   4:   triangle	(41.157; 0.309; -173.170)	(41.157; 0.309; -174.154)	(41.157; 12.467; -174.154)	1
15:44:47.449 : tid:   4:   triangle	(40.744; 8.059; -173.161)	(40.744; 5.696; -173.161)	(40.744; 5.696; -167.844)	0
15:44:47.450 : tid:   4:   triangle	(41.157; 12.467; -174.154)	(41.157; 12.467; -173.170)	(41.157; 0.309; -173.170)	1
15:44:47.450 : tid:   4:   triangle	(40.744; 8.059; -173.161)	(40.744; 5.696; -173.161)	(40.744; 5.696; -167.844)	0
