14:39:41.873 : tid:   3: ==========================================================
14:39:41.875 : tid:   3: New test: _oneContact=1, maxContacts=1
14:39:41.876 : tid:   3: maxPCNodeVerts=4000
14:39:41.877 : tid:   3: use pointcloud multithread
14:39:41.878 : tid:   3: ==========================================================
14:39:41.878 : tid:   3: 0: TestType='Tolerance',  CheckInside {
14:39:41.880 : tid:   3:  === Process 2x1 frags ===
14:39:41.881 : tid:   3:  0 exec 0:0 {
14:39:41.886 : tid:   3:   Found 714 pairs
14:39:41.887 : tid:   3:   3D_object	0
14:39:41.888 : tid:   3:   3D_object	1
14:39:41.905 : tid:   3:   triangle	(27.146; 11.483; -173.170)	(41.157; 0.309; -173.170)	(41.157; 12.467; -173.170)	1
14:39:41.906 : tid:   3:   triangle	(39.047; 8.026; -173.195)	(39.047; 8.026; -173.194)	(40.779; 8.026; -173.195)	0
14:39:41.906 : tid:   3:   triangle	(41.157; 0.309; -173.170)	(41.157; 0.309; -174.154)	(41.157; 12.467; -174.154)	1
14:39:41.907 : tid:   3:   triangle	(39.047; 8.026; -173.195)	(39.047; 8.026; -173.194)	(40.779; 8.026; -173.195)	0
14:39:41.908 : tid:   3:   triangle	(41.157; 12.467; -174.154)	(41.157; 12.467; -173.170)	(41.157; 0.309; -173.170)	1
14:39:41.909 : tid:   3:   triangle	(39.047; 8.026; -173.195)	(39.047; 8.026; -173.194)	(40.779; 8.026; -173.195)	0
14:39:41.910 : tid:   3:   triangle	(41.157; 0.309; -173.170)	(41.157; 0.309; -174.154)	(41.157; 12.467; -174.154)	1
14:39:41.910 : tid:   3:   triangle	(40.779; 7.370; -173.194)	(40.779; 6.385; -173.194)	(39.274; 7.370; -173.194)	0
14:39:41.911 : tid:   3:   triangle	(41.157; 12.467; -174.154)	(41.157; 12.467; -173.170)	(41.157; 0.309; -173.170)	1
14:39:41.912 : tid:   3:   triangle	(40.779; 7.370; -173.194)	(40.779; 6.385; -173.194)	(39.274; 7.370; -173.194)	0
14:39:41.913 : tid:   3:   triangle	(41.157; 0.309; -173.170)	(41.157; 0.309; -174.154)	(41.157; 12.467; -174.154)	1
14:39:41.914 : tid:   3:   triangle	(39.047; 8.026; -173.194)	(39.274; 7.370; -173.194)	(40.779; 6.385; -173.194)	0
14:39:41.914 : tid:   3:   triangle	(41.157; 12.467; -174.154)	(41.157; 12.467; -173.170)	(41.157; 0.309; -173.170)	1
14:39:41.915 : tid:   3:   triangle	(39.047; 8.026; -173.194)	(39.274; 7.370; -173.194)	(40.779; 6.385; -173.194)	0
