15:40:01.21  : tid: MN0: Create (tid:34740)
15:40:01.25  : tid: MN0: Debug ver [5.13.0.99999(00000000)]
15:40:01.25  : tid: MN0: Build date: [(Feb 19 2024) 15:31:19]
15:40:01.25  : tid: MN0: cores: available: 16, utilized: 15
15:40:01.126 : tid:   1: ==========================================================
15:40:01.126 : tid:   1: New test: _oneContact=1, maxContacts=1
15:40:01.127 : tid:   1: maxPCNodeVerts=4000
15:40:01.127 : tid:   1: use pointcloud multithread
15:40:01.127 : tid:   1: ==========================================================
15:40:01.129 : tid:   1: 0: TestType='DirectBelow',  topBottom=8 CheckInside {
15:40:01.137 : tid:   1:  0 exec {
15:40:01.138 : tid:   1:   Found 72 pairs
15:40:01.139 : tid:   1:  } 2ms (1 contacts)
15:40:01.143 : tid:   1: }
15:42:30.530 : tid:   2: ==========================================================
15:42:30.530 : tid:   2: New test: _oneContact=1, maxContacts=1
15:42:30.531 : tid:   2: maxPCNodeVerts=4000
15:42:30.531 : tid:   2: use pointcloud multithread
15:42:30.532 : tid:   2: ==========================================================
15:42:30.533 : tid:   2: 0: TestType='DirectBelow',  topBottom=8 CheckInside {
15:42:30.533 : tid:   2:  0 exec {
15:42:30.534 : tid:   2:   Found 72 pairs
16:08:26.233 : tid:   2:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
16:08:26.235 : tid:   2:   triangle	(-22.581; 1.741; -1.017)	(-22.581; 1.806; -0.999)	(-22.581; 1.806; -1.130)	1
16:08:40.292 : tid:   2:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
16:08:40.293 : tid:   2:   triangle	(-22.581; 1.806; -1.130)	(-22.581; 1.872; -1.017)	(-22.581; 1.920; -1.065)	1
16:08:40.294 : tid:   2:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
16:08:40.295 : tid:   2:   triangle	(-22.581; 1.872; -1.017)	(-22.581; 1.806; -1.130)	(-22.581; 1.806; -0.999)	1
16:08:40.298 : tid:   2:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
16:08:40.299 : tid:   2:   triangle	(-22.581; 1.920; -1.065)	(-22.581; 1.938; -1.130)	(-22.581; 1.806; -1.130)	1
16:08:40.300 : tid:   2:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
16:08:40.301 : tid:   2:   triangle	(-22.581; 1.741; -1.244)	(-22.581; 1.693; -1.196)	(-22.581; 1.806; -1.130)	1
16:08:40.303 : tid:   2:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
16:08:40.303 : tid:   2:   triangle	(-22.581; 1.693; -1.196)	(-22.581; 1.675; -1.130)	(-22.581; 1.806; -1.130)	1
16:08:40.304 : tid:   2:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
16:08:40.304 : tid:   2:   triangle	(-22.581; 1.806; -1.130)	(-22.581; 1.806; -1.261)	(-22.581; 1.741; -1.244)	1
16:08:40.305 : tid:   2:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
16:08:40.306 : tid:   2:   triangle	(-22.581; 1.806; -1.130)	(-22.581; 1.920; -1.196)	(-22.581; 1.872; -1.244)	1
16:08:40.306 : tid:   2:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
16:08:40.307 : tid:   2:   triangle	(-22.581; 1.920; -1.196)	(-22.581; 1.806; -1.130)	(-22.581; 1.938; -1.130)	1
16:08:40.309 : tid:   2:   triangle	(-21.115; 0.000; -2.284)	(-23.487; 6.436; 0.585)	(-23.487; 6.436; 7.147)	0
16:08:40.309 : tid:   2:   triangle	(-22.581; 1.806; -1.261)	(-22.581; 1.806; -1.130)	(-22.581; 1.872; -1.244)	1
16:08:40.310 : tid:   2:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
16:08:40.312 : tid:   2:   triangle	(-22.581; 1.741; -1.244)	(-22.581; 1.693; -1.196)	(-22.581; 1.806; -1.130)	1
16:08:40.312 : tid:   2:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
16:08:40.313 : tid:   2:   triangle	(-22.581; 1.693; -1.196)	(-22.581; 1.675; -1.130)	(-22.581; 1.806; -1.130)	1
16:08:40.313 : tid:   2:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
16:08:40.314 : tid:   2:   triangle	(-22.581; 1.806; -1.130)	(-22.581; 1.806; -1.261)	(-22.581; 1.741; -1.244)	1
16:08:40.315 : tid:   2:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
16:08:40.315 : tid:   2:   triangle	(-22.581; 1.806; -1.130)	(-22.581; 1.920; -1.196)	(-22.581; 1.872; -1.244)	1
16:08:40.316 : tid:   2:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
16:08:40.316 : tid:   2:   triangle	(-22.581; 1.920; -1.196)	(-22.581; 1.806; -1.130)	(-22.581; 1.938; -1.130)	1
16:08:40.317 : tid:   2:   triangle	(-23.487; 6.436; 0.585)	(-21.115; 0.000; -2.284)	(-24.472; 6.436; 0.585)	0
16:08:40.318 : tid:   2:   triangle	(-22.581; 1.806; -1.261)	(-22.581; 1.806; -1.130)	(-22.581; 1.872; -1.244)	1
16:08:40.319 : tid:   2:   triangle	(-30.629; 0.000; -2.284)	(-24.472; 6.436; 0.585)	(-21.115; 0.000; -2.284)	0
16:08:40.319 : tid:   2:   triangle	(-22.581; 1.693; -1.065)	(-22.581; 1.806; -1.130)	(-22.581; 1.675; -1.130)	1
16:08:40.320 : tid:   2:   triangle	(-30.629; 0.000; -2.284)	(-24.472; 6.436; 0.585)	(-21.115; 0.000; -2.284)	0
16:08:40.320 : tid:   2:   triangle	(-22.581; 1.806; -1.130)	(-22.581; 1.693; -1.065)	(-22.581; 1.741; -1.017)	1
16:08:40.321 : tid:   2:   triangle	(-30.629; 0.000; -2.284)	(-24.472; 6.436; 0.585)	(-21.115; 0.000; -2.284)	0
16:08:40.321 : tid:   2:   triangle	(-22.581; 1.741; -1.017)	(-22.581; 1.806; -0.999)	(-22.581; 1.806; -1.130)	1
