16:20:05.763 : tid: MN0: Create (tid:24772)
16:20:05.763 : tid: MN0: Debug ver [5.10.0.99999(00000000)]
16:20:05.763 : tid: MN0: Build date: [(Oct 31 2022) 16:16:24]
16:20:05.846 : tid:   1: _oneContact=1, maxContacts=1
16:20:05.847 : tid:   1: 0: TestType=4,  topBottom=24
16:20:05.856 : tid:   1: Exec {
16:20:05.859 : tid:   1:  Found 60 pairs
16:21:00.523 : tid:   1:  3D_object
16:21:10.64  : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.565; 19.199; -110.065)	(-147.959; 19.199; -110.065)
16:21:10.65  : tid:   1:  triangle	(-147.378; 9.508; -110.469)	(-147.378; 21.106; -110.469)	(-147.505; 9.508; -110.469)
16:21:10.65  : tid:   1:  triangle	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -110.065)
16:21:10.66  : tid:   1:  triangle	(-147.378; 9.508; -110.469)	(-147.378; 21.106; -110.469)	(-147.505; 9.508; -110.469)
16:21:10.66  : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
16:21:10.67  : tid:   1:  triangle	(-147.378; 9.508; -110.469)	(-147.378; 21.106; -110.469)	(-147.505; 9.508; -110.469)
16:21:10.67  : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
16:21:10.67  : tid:   1:  triangle	(-147.505; 9.508; -110.469)	(-147.378; 32.805; -110.469)	(-147.378; 9.508; -110.469)
16:21:10.68  : tid:   1:  triangle	(-147.959; 19.002; -110.065)	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -114.871)
16:21:10.68  : tid:   1:  triangle	(-147.505; 9.508; -110.469)	(-173.965; 32.805; -110.469)	(-147.378; 32.805; -110.469)
16:21:10.68  : tid:   1:  triangle	(-147.959; 19.199; -114.871)	(-147.959; 19.002; -114.871)	(-147.959; 19.199; -110.065)
16:21:10.68  : tid:   1:  triangle	(-147.505; 9.508; -110.469)	(-173.965; 32.805; -110.469)	(-147.378; 32.805; -110.469)
16:21:10.69  : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
16:21:10.69  : tid:   1:  triangle	(-147.505; 9.508; -110.469)	(-173.965; 32.805; -110.469)	(-147.378; 32.805; -110.469)
16:21:10.69  : tid:   1:  triangle	(-147.959; 19.002; -110.065)	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -114.871)
16:21:10.70  : tid:   1:  triangle	(-173.965; 32.805; -110.469)	(-147.505; 9.508; -110.469)	(-173.965; 9.508; -110.469)
16:21:10.70  : tid:   1:  triangle	(-147.959; 19.199; -114.871)	(-147.959; 19.002; -114.871)	(-147.959; 19.199; -110.065)
16:21:10.70  : tid:   1:  triangle	(-173.965; 32.805; -110.469)	(-147.505; 9.508; -110.469)	(-173.965; 9.508; -110.469)
16:21:10.70  : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
16:21:10.70  : tid:   1:  triangle	(-173.965; 32.805; -110.469)	(-147.505; 9.508; -110.469)	(-173.965; 9.508; -110.469)
16:21:10.71  : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.565; 19.199; -110.065)	(-147.959; 19.199; -110.065)
16:21:10.71  : tid:   1:  triangle	(-147.378; 21.106; -110.469)	(-173.965; 32.805; -110.469)	(-165.989; -1.321; -110.469)
16:21:10.71  : tid:   1:  triangle	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -110.065)
16:21:10.71  : tid:   1:  triangle	(-147.378; 21.106; -110.469)	(-173.965; 32.805; -110.469)	(-165.989; -1.321; -110.469)
16:21:10.72  : tid:   1:  triangle	(-147.959; 19.002; -110.065)	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -114.871)
16:21:10.72  : tid:   1:  triangle	(-147.378; 21.106; -110.469)	(-173.965; 32.805; -110.469)	(-165.989; -1.321; -110.469)
16:21:10.72  : tid:   1:  triangle	(-147.959; 19.199; -114.871)	(-147.959; 19.002; -114.871)	(-147.959; 19.199; -110.065)
16:21:10.72  : tid:   1:  triangle	(-147.378; 21.106; -110.469)	(-173.965; 32.805; -110.469)	(-165.989; -1.321; -110.469)
16:21:10.73  : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
16:21:10.73  : tid:   1:  triangle	(-147.378; 21.106; -110.469)	(-173.965; 32.805; -110.469)	(-165.989; -1.321; -110.469)
16:21:10.73  : tid:   1:  triangle	(-147.959; 19.002; -114.871)	(-147.565; 19.002; -114.871)	(-147.959; 19.002; -110.065)
