17:15:22.656 : tid: MN0: Create (tid:4036)
17:15:22.656 : tid: MN0: Debug ver [5.10.0.99999(00000000)]
17:15:22.656 : tid: MN0: Build date: [(Oct 31 2022) 17:12:59]
17:15:22.722 : tid:   1: _oneContact=1, maxContacts=1
17:15:22.723 : tid:   1: 0: TestType=4,  topBottom=24
17:15:22.729 : tid:   1: Exec {
17:15:22.731 : tid:   1:  Found 60 pairs
17:15:22.731 : tid:   1:  3D_object
17:15:22.732 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.565; 19.199; -110.065)	(-147.959; 19.199; -110.065)
17:15:22.732 : tid:   1:  triangle	(-147.051; 9.508; -110.469)	(-147.051; 21.106; -110.469)	(-147.505; 9.508; -110.469)
17:15:22.732 : tid:   1:  triangle	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -110.065)
17:15:22.732 : tid:   1:  triangle	(-147.051; 9.508; -110.469)	(-147.051; 21.106; -110.469)	(-147.505; 9.508; -110.469)
17:15:22.732 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
17:15:22.733 : tid:   1:  triangle	(-147.051; 9.508; -110.469)	(-147.051; 21.106; -110.469)	(-147.505; 9.508; -110.469)
17:15:22.733 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
17:15:22.733 : tid:   1:  triangle	(-147.505; 9.508; -110.469)	(-147.051; 34.442; -110.469)	(-147.051; 9.508; -110.469)
17:15:22.733 : tid:   1:  triangle	(-147.959; 19.002; -110.065)	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -114.871)
17:15:22.733 : tid:   1:  triangle	(-147.505; 9.508; -110.469)	(-174.292; 34.442; -110.469)	(-147.051; 34.442; -110.469)
17:15:22.733 : tid:   1:  triangle	(-147.959; 19.199; -114.871)	(-147.959; 19.002; -114.871)	(-147.959; 19.199; -110.065)
17:15:22.733 : tid:   1:  triangle	(-147.505; 9.508; -110.469)	(-174.292; 34.442; -110.469)	(-147.051; 34.442; -110.469)
17:15:22.733 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
17:15:22.733 : tid:   1:  triangle	(-147.505; 9.508; -110.469)	(-174.292; 34.442; -110.469)	(-147.051; 34.442; -110.469)
17:15:22.733 : tid:   1:  triangle	(-147.959; 19.002; -110.065)	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -114.871)
17:15:22.733 : tid:   1:  triangle	(-174.292; 34.442; -110.469)	(-147.505; 9.508; -110.469)	(-174.292; 9.508; -110.469)
17:15:22.733 : tid:   1:  triangle	(-147.959; 19.199; -114.871)	(-147.959; 19.002; -114.871)	(-147.959; 19.199; -110.065)
17:15:22.733 : tid:   1:  triangle	(-174.292; 34.442; -110.469)	(-147.505; 9.508; -110.469)	(-174.292; 9.508; -110.469)
17:15:22.734 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
17:15:22.734 : tid:   1:  triangle	(-174.292; 34.442; -110.469)	(-147.505; 9.508; -110.469)	(-174.292; 9.508; -110.469)
17:15:22.734 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.565; 19.199; -110.065)	(-147.959; 19.199; -110.065)
17:15:22.734 : tid:   1:  triangle	(-147.051; 21.106; -110.469)	(-174.292; 34.442; -110.469)	(-165.989; -2.959; -110.469)
17:15:22.734 : tid:   1:  triangle	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -110.065)
17:15:22.734 : tid:   1:  triangle	(-147.051; 21.106; -110.469)	(-174.292; 34.442; -110.469)	(-165.989; -2.959; -110.469)
17:15:22.734 : tid:   1:  triangle	(-147.959; 19.002; -110.065)	(-147.959; 19.199; -110.065)	(-147.959; 19.002; -114.871)
17:15:22.734 : tid:   1:  triangle	(-147.051; 21.106; -110.469)	(-174.292; 34.442; -110.469)	(-165.989; -2.959; -110.469)
17:15:22.734 : tid:   1:  triangle	(-147.959; 19.199; -114.871)	(-147.959; 19.002; -114.871)	(-147.959; 19.199; -110.065)
17:15:22.734 : tid:   1:  triangle	(-147.051; 21.106; -110.469)	(-174.292; 34.442; -110.469)	(-165.989; -2.959; -110.469)
17:15:22.734 : tid:   1:  triangle	(-147.565; 19.002; -110.065)	(-147.959; 19.002; -110.065)	(-147.565; 19.002; -114.871)
17:15:22.734 : tid:   1:  triangle	(-147.051; 21.106; -110.469)	(-174.292; 34.442; -110.469)	(-165.989; -2.959; -110.469)
17:15:22.734 : tid:   1:  triangle	(-147.959; 19.002; -114.871)	(-147.565; 19.002; -114.871)	(-147.959; 19.002; -110.065)
17:15:22.734 : tid:   1:  triangle	(-147.051; 9.508; -110.469)	(-147.051; 21.106; -110.469)	(-147.505; 9.508; -110.469)
17:15:22.735 : tid:   1:  triangle	(-147.565; 19.199; -110.065)	(-147.565; 19.002; -110.065)	(-147.565; 19.199; -114.871)
17:15:22.735 : tid:   1:  triangle	(-147.051; 9.508; -110.469)	(-147.051; 21.106; -110.469)	(-147.505; 9.508; -110.469)
17:15:22.735 : tid:   1:  triangle	(-147.565; 19.002; -114.871)	(-147.565; 19.199; -114.871)	(-147.565; 19.002; -110.065)
17:15:22.735 : tid:   1:  triangle	(-147.051; 9.508; -110.469)	(-147.051; 21.106; -110.469)	(-147.505; 9.508; -110.469)
17:15:22.735 : tid:   1:  triangle	(-147.959; 19.199; -110.065)	(-147.565; 19.199; -110.065)	(-147.959; 19.199; -114.871)
17:15:22.735 : tid:   1:  triangle	(-147.051; 9.508; -110.469)	(-147.051; 21.106; -110.469)	(-147.505; 9.508; -110.469)
