18:23:09.687 : tid: MN0: Create (tid:23928)
18:23:09.691 : tid: MN0: Debug ver [5.13.0.99999(00000000)]
18:23:09.691 : tid: MN0: Build date: [(Sep 10 2024) 18:05:10]
18:23:09.692 : tid: MN0: affinity already applied (65534)
18:23:09.820 : tid:   1: ==========================================================
18:23:09.821 : tid:   1: New test: _oneContact=1, maxContacts=1
18:23:09.822 : tid:   1: maxPCNodeVerts=4000
18:23:09.822 : tid:   1: use pointcloud multithread
18:23:09.823 : tid:   1: ==========================================================
18:23:09.825 : tid:   1: 0: TestType='ClearanceSplit',  CheckInside {
18:23:09.836 : tid:   1:  0 exec {
18:23:09.841 : tid:   1:   Found 1040 pairs
18:23:21.74  : tid:   1:   3D_object	0
18:23:21.74  : tid:   1:   3D_object	1
18:23:21.75  : tid:   1:   triangle	(-9675662.087; 1279.553; -737854.242)	(-9675661.929; 1282.631; -737854.346)	(-9675662.127; 1279.900; -737854.115)	0
18:23:21.76  : tid:   1:   triangle	(-9675662.952; 1286.469; -737862.703)	(-9675582.854; 1240.149; -737828.362)	(-9675663.073; 1282.629; -737862.755)	1
18:23:21.76  : tid:   1:   triangle	(-9675662.087; 1279.553; -737854.242)	(-9675661.929; 1282.631; -737854.346)	(-9675662.127; 1279.900; -737854.115)	0
18:23:21.77  : tid:   1:   triangle	(-9675663.073; 1282.629; -737862.755)	(-9675582.854; 1240.149; -737828.362)	(-9675582.975; 1236.309; -737828.414)	1
18:23:21.77  : tid:   1:   triangle	(-9675662.087; 1279.553; -737854.242)	(-9675661.929; 1282.631; -737854.346)	(-9675662.127; 1279.900; -737854.115)	0
18:23:21.78  : tid:   1:   triangle	(-9675662.952; 1286.469; -737862.703)	(-9675663.469; 1286.469; -737861.497)	(-9675582.854; 1240.149; -737828.362)	1
18:23:21.79  : tid:   1:   triangle	(-9675662.087; 1279.553; -737854.242)	(-9675661.929; 1282.631; -737854.346)	(-9675662.127; 1279.900; -737854.115)	0
18:23:21.79  : tid:   1:   triangle	(-9675582.854; 1240.149; -737828.362)	(-9675663.469; 1286.469; -737861.497)	(-9675583.371; 1240.149; -737827.156)	1
18:23:21.80  : tid:   1:   triangle	(-9675662.127; 1279.900; -737854.115)	(-9675661.929; 1282.631; -737854.346)	(-9675661.994; 1282.510; -737854.203)	0
18:23:21.81  : tid:   1:   triangle	(-9675662.952; 1286.469; -737862.703)	(-9675582.854; 1240.149; -737828.362)	(-9675663.073; 1282.629; -737862.755)	1
