15:40:07.918 : tid: MN0: Create (tid:22216)
15:40:07.919 : tid: MN0: Debug ver [5.10.0.99999(00000000)]
15:40:07.919 : tid: MN0: Build date: [(Oct 27 2022) 15:38:02]
15:40:07.983 : tid:   1: _oneContact=1, maxContacts=1
15:40:07.984 : tid:   1: 0: TestType=2,  topBottom=24
15:40:07.990 : tid:   1: Exec {
15:40:07.991 : tid:   1:  Found 82 pairs
15:40:07.992 : tid:   1:  3D_object
15:40:07.992 : tid:   1:  triangle	(-24.266; 21.975; -178.919)	(-23.861; 21.975; -178.861)	(-24.139; 21.975; -178.861)
15:40:07.992 : tid:   1:  triangle	(-24.223; 20.510; -179.520)	(-24.116; 30.682; -179.452)	(-24.223; 30.682; -179.520)
15:40:07.992 : tid:   1:  triangle	(-23.861; 21.975; -178.861)	(-24.448; 21.975; -179.129)	(-24.487; 21.975; -179.263)
15:40:07.992 : tid:   1:  triangle	(-24.223; 20.510; -179.520)	(-24.116; 30.682; -179.452)	(-24.223; 30.682; -179.520)
15:40:07.992 : tid:   1:  triangle	(-23.861; 21.975; -178.861)	(-24.487; 21.975; -179.263)	(-24.448; 21.975; -179.538)
15:40:07.993 : tid:   1:  triangle	(-24.223; 20.510; -179.520)	(-24.116; 30.682; -179.452)	(-24.223; 30.682; -179.520)
15:40:07.993 : tid:   1:  triangle	(-24.266; 21.975; -178.919)	(-24.372; 21.975; -179.011)	(-23.861; 21.975; -178.861)
15:40:07.993 : tid:   1:  triangle	(-24.223; 20.510; -179.520)	(-24.116; 30.682; -179.452)	(-24.223; 30.682; -179.520)
15:40:07.993 : tid:   1:  triangle	(-23.861; 21.975; -178.861)	(-24.448; 21.975; -179.538)	(-24.139; 21.975; -179.806)
15:40:07.993 : tid:   1:  triangle	(-24.223; 20.510; -179.520)	(-24.116; 30.682; -179.452)	(-24.223; 30.682; -179.520)
15:40:07.993 : tid:   1:  triangle	(-23.861; 21.975; -178.861)	(-24.372; 21.975; -179.011)	(-24.448; 21.975; -179.129)
15:40:07.993 : tid:   1:  triangle	(-24.223; 20.510; -179.520)	(-24.116; 30.682; -179.452)	(-24.223; 30.682; -179.520)
15:40:07.993 : tid:   1:  triangle	(-24.266; 21.975; -178.919)	(-23.861; 21.975; -178.861)	(-24.139; 21.975; -178.861)
15:40:07.993 : tid:   1:  triangle	(-24.223; 20.510; -179.520)	(-24.116; 20.510; -179.452)	(-24.116; 30.682; -179.452)
15:40:07.993 : tid:   1:  triangle	(-23.861; 21.975; -178.861)	(-24.448; 21.975; -179.129)	(-24.487; 21.975; -179.263)
15:40:07.993 : tid:   1:  triangle	(-24.223; 20.510; -179.520)	(-24.116; 20.510; -179.452)	(-24.116; 30.682; -179.452)
15:40:07.993 : tid:   1:  triangle	(-23.861; 21.975; -178.861)	(-24.487; 21.975; -179.263)	(-24.448; 21.975; -179.538)
15:40:07.993 : tid:   1:  triangle	(-24.223; 20.510; -179.520)	(-24.116; 20.510; -179.452)	(-24.116; 30.682; -179.452)
15:40:07.993 : tid:   1:  triangle	(-24.266; 21.975; -178.919)	(-24.372; 21.975; -179.011)	(-23.861; 21.975; -178.861)
15:40:07.994 : tid:   1:  triangle	(-24.223; 20.510; -179.520)	(-24.116; 20.510; -179.452)	(-24.116; 30.682; -179.452)
15:40:07.994 : tid:   1:  triangle	(-23.861; 21.975; -178.861)	(-24.448; 21.975; -179.538)	(-24.139; 21.975; -179.806)
15:40:07.994 : tid:   1:  triangle	(-24.223; 20.510; -179.520)	(-24.116; 20.510; -179.452)	(-24.116; 30.682; -179.452)
15:40:07.994 : tid:   1:  triangle	(-23.861; 21.975; -178.861)	(-24.372; 21.975; -179.011)	(-24.448; 21.975; -179.129)
15:40:07.994 : tid:   1:  triangle	(-24.223; 20.510; -179.520)	(-24.116; 20.510; -179.452)	(-24.116; 30.682; -179.452)
15:40:07.994 : tid:   1:  triangle	(-24.266; 21.975; -178.919)	(-23.861; 21.975; -178.861)	(-24.139; 21.975; -178.861)
15:40:07.994 : tid:   1:  triangle	(-24.116; 20.510; -179.452)	(-24.075; 30.682; -179.446)	(-24.116; 30.682; -179.452)
15:40:07.994 : tid:   1:  triangle	(-23.861; 21.975; -178.861)	(-24.448; 21.975; -179.129)	(-24.487; 21.975; -179.263)
15:40:07.994 : tid:   1:  triangle	(-24.116; 20.510; -179.452)	(-24.075; 30.682; -179.446)	(-24.116; 30.682; -179.452)
15:40:07.994 : tid:   1:  triangle	(-23.861; 21.975; -178.861)	(-24.487; 21.975; -179.263)	(-24.448; 21.975; -179.538)
15:40:07.994 : tid:   1:  triangle	(-24.116; 20.510; -179.452)	(-24.075; 30.682; -179.446)	(-24.116; 30.682; -179.452)
15:40:07.994 : tid:   1:  triangle	(-24.266; 21.975; -178.919)	(-24.372; 21.975; -179.011)	(-23.861; 21.975; -178.861)
15:40:07.994 : tid:   1:  triangle	(-24.116; 20.510; -179.452)	(-24.075; 30.682; -179.446)	(-24.116; 30.682; -179.452)
15:40:07.994 : tid:   1:  triangle	(-23.861; 21.975; -178.861)	(-24.448; 21.975; -179.538)	(-24.139; 21.975; -179.806)
15:40:07.995 : tid:   1:  triangle	(-24.116; 20.510; -179.452)	(-24.075; 30.682; -179.446)	(-24.116; 30.682; -179.452)
15:40:07.995 : tid:   1:  triangle	(-23.861; 21.975; -178.861)	(-24.372; 21.975; -179.011)	(-24.448; 21.975; -179.129)
