18:33:35.686 : tid: MN0: Create (tid:23928)
18:33:35.689 : tid: MN0: Debug ver [5.13.0.99999(00000000)]
18:33:35.690 : tid: MN0: Build date: [(Sep 10 2024) 18:05:10]
18:33:35.691 : tid: MN0: affinity already applied (65534)
18:33:35.779 : tid:   1: ==========================================================
18:33:35.780 : tid:   1: New test: _oneContact=1, maxContacts=1
18:33:35.781 : tid:   1: maxPCNodeVerts=4000
18:33:35.782 : tid:   1: use pointcloud multithread
18:33:35.783 : tid:   1: ==========================================================
18:33:35.786 : tid:   1: 0: TestType='ClearanceSplit',  CheckInside {
18:33:35.796 : tid:   1:  0 exec {
18:33:35.801 : tid:   1:   Found 988 pairs
18:33:35.802 : tid:   1:   3D_object	0
18:33:35.803 : tid:   1:   3D_object	1
18:33:35.804 : tid:   1:   triangle	(-9675662.087; 4265.176; -737854.242)	(-9675661.929; 4275.438; -737854.346)	(-9675662.127; 4266.332; -737854.115)	0
18:33:35.805 : tid:   1:   triangle	(-9675662.952; 4288.230; -737862.703)	(-9675582.854; 4133.831; -737828.362)	(-9675663.073; 4275.429; -737862.755)	1
18:33:35.806 : tid:   1:   triangle	(-9675662.087; 4265.176; -737854.242)	(-9675661.929; 4275.438; -737854.346)	(-9675662.127; 4266.332; -737854.115)	0
18:33:35.806 : tid:   1:   triangle	(-9675663.073; 4275.429; -737862.755)	(-9675582.854; 4133.831; -737828.362)	(-9675582.975; 4121.031; -737828.414)	1
18:33:35.807 : tid:   1:   triangle	(-9675662.087; 4265.176; -737854.242)	(-9675661.929; 4275.438; -737854.346)	(-9675662.127; 4266.332; -737854.115)	0
18:33:35.808 : tid:   1:   triangle	(-9675662.952; 4288.230; -737862.703)	(-9675663.469; 4288.230; -737861.497)	(-9675582.854; 4133.831; -737828.362)	1
18:33:35.809 : tid:   1:   triangle	(-9675662.087; 4265.176; -737854.242)	(-9675661.929; 4275.438; -737854.346)	(-9675662.127; 4266.332; -737854.115)	0
18:33:35.809 : tid:   1:   triangle	(-9675582.854; 4133.831; -737828.362)	(-9675663.469; 4288.230; -737861.497)	(-9675583.371; 4133.831; -737827.156)	1
18:33:35.810 : tid:   1:   triangle	(-9675662.127; 4266.332; -737854.115)	(-9675661.929; 4275.438; -737854.346)	(-9675661.994; 4275.032; -737854.203)	0
18:33:35.811 : tid:   1:   triangle	(-9675662.952; 4288.230; -737862.703)	(-9675582.854; 4133.831; -737828.362)	(-9675663.073; 4275.429; -737862.755)	1
18:33:35.812 : tid:   1:   triangle	(-9675662.127; 4266.332; -737854.115)	(-9675661.929; 4275.438; -737854.346)	(-9675661.994; 4275.032; -737854.203)	0
