15:16:49.205 : tid: MN0: Create (tid:35020)
15:16:49.207 : tid: MN0: Debug ver [5.13.0.99999(00000000)]
15:16:49.208 : tid: MN0: Build date: [(Mar 26 2024) 14:30:55]
15:16:49.209 : tid: MN0: affinity already applied (65534)
15:16:53.103 : tid:   1: ==========================================================
15:16:53.104 : tid:   1: New test: _oneContact=1, maxContacts=1
15:16:53.105 : tid:   1: maxPCNodeVerts=4000
15:16:53.106 : tid:   1: use pointcloud multithread
15:16:53.106 : tid:   1: ==========================================================
15:16:53.110 : tid:   1: 0: TestType='Inside',  CheckInside {
15:16:53.118 : tid:   1:  === Process 2x1 frags ===
15:16:53.120 : tid:   1:  0 exec 0:0 {
15:16:53.123 : tid:   1:   Found 48 pairs
15:16:59.399 : tid:   1:   3D_object	0
15:16:59.400 : tid:   1:   3D_object	1
15:16:59.402 : tid:   1:   line	(-6.019; 78.495; -45.492)	(7.513; 81.632; -43.355)	0
15:16:59.449 : tid:   1:   triangle	(-4.951; 79.240; -73.917)	(-5.268; 78.607; -73.917)	(-2.585; 77.265; -73.917)	0
15:16:59.450 : tid:   1:   triangle	(-5.268; 78.607; -73.917)	(-4.951; 79.240; -73.917)	(-4.951; 79.240; -71.417)	0
15:16:59.451 : tid:   1:   triangle	(-4.951; 79.240; -71.417)	(-5.268; 78.607; -71.417)	(-5.268; 78.607; -73.917)	0
15:16:59.451 : tid:   1:   triangle	(-5.268; 78.607; -71.417)	(-4.951; 79.240; -71.417)	(-2.268; 77.899; -71.417)	0
15:16:59.452 : tid:   1:   triangle	(-2.268; 77.899; -71.417)	(-2.585; 77.265; -71.417)	(-5.268; 78.607; -71.417)	0
15:16:59.453 : tid:   1:   triangle	(-2.585; 77.265; -71.417)	(-2.268; 77.899; -71.417)	(-2.268; 77.899; -73.917)	0
15:16:59.454 : tid:   1:   triangle	(-2.268; 77.899; -73.917)	(-2.585; 77.265; -73.917)	(-2.585; 77.265; -71.417)	0
15:16:59.454 : tid:   1:   triangle	(-21.196; 82.542; -94.416)	(-43.570; 70.563; -70.459)	(-45.154; 70.563; -70.459)	0
15:16:59.455 : tid:   1:   triangle	(-43.570; 70.563; -70.459)	(-21.196; 82.542; -94.416)	(-19.612; 82.542; -94.416)	0
15:16:59.456 : tid:   1:   triangle	(-16.643; 84.026; -41.104)	(-43.570; 70.563; -70.459)	(-19.612; 82.542; -94.416)	0
